TRADER,n_trades,avg_from_amount,avg_to_amount,cluster
osmo10902j8s6hr6xgaxzq372ns0mdcyxg4c0fr432v,2,6500000000.0,26326170.0,0.0
osmo1096mzk92qvf3ygykc2rdq74f8fhs9j5fngvhc3,1,123200000.0,49107256.0,0.0
osmo10976th3wn8z9a92m6gedn0kaek9sytfcj5t8qz,1,100.0,6.0,0.0
osmo10982vwl2yaa7zsvx2ufwjvx3wdz0mtcpw54d53,2,632059995.5,2926307.5,0.0
osmo109as32auw8xdurf72gclyk26ulml297km02tcy,1,10000000.0,145305973.0,0.0
osmo109c675fdzp546p60tkrcsavpwe9jjm2g6tmpc4,1,100.0,6.0,0.0
osmo109d87pepncr77wq06y8eapkj8nqy83c3wrht7l,1,100.0,6.0,0.0
osmo109e7wrf7sfkauk00s69xy4lxdckfjk79k0yd8d,1,100.0,6.0,0.0
osmo109fhpxjztun2s6plnyzxpsmctcz9cdj4hv0nqt,6,8.350000000002433e+18,699547335.1666666,0.0
osmo109gr65ft2jc6sz44mffhaa9cle0nz05ez3knvq,2,4850102.0,8.29402248486616e+19,0.0
osmo109h2fxle49mfswqw5mz869suhse4l6c883pw8p,1,5100000.0,360757.0,0.0
osmo109h5kttyv2wereux53uz7vjqlf0ujc7g96lf0g,1,68867189.0,52587762.0,0.0
osmo109hru66tyxvrv7k20dys62t5c3r7t8rtmxzwpl,586,159390245.7337884,1151616786.172355,0.0
osmo109nrld8wyhqhrcxzx9wqtadfsk05qeq2s3d9xc,3,3.593333333333333e+17,75319.0,0.0
osmo109pme5jey3ahxdpu8zeffpwhh7l8ayuarv577k,2,1.725853703185568e+19,611498063.0,0.0
osmo109quggl5ztqt9g3vp5v3zrvndt227xdh058hwj,4,569456663076.25,191646098.75,0.0
osmo109r8awt53fknr7ypa78yedpndkexta68x5d536,1,100.0,6.0,0.0
osmo109rg4cwjdm9fkfv5sxvxp3av49k6l5p6pxvkxl,1,100.0,6.0,0.0
osmo109rzcjz8rdalm8520jfatamc4gtednz3aahp54,2,12000000.0,3920612.0,0.0
osmo109tnw70rafe458nd3k8qrn6xpan6tnx0j3dn0e,1,1280000.0,153784210073.0,0.0
osmo109u82a76v52c7lth5xjut5lvrdu4m7eepd5j4p,1,100.0,6.0,0.0
osmo109ugmvzv3f5p75zf7ckmujc3va4lle0g9tl8jj,1,48200000.0,2609632.0,0.0
osmo109vuj08dejnnt9txlwhp3c20jxfwjstaa0lwne,1,100.0,6.0,0.0
osmo109wey9dw2pslvavsddpl8ckfv6jge20sav2a5p,1,100.0,6.0,0.0
osmo109xe63pprquaa9trm92pmyxnq4a4uw8e7guwlk,3,9.000000000004103e+19,34523726.333333336,0.0
osmo10a20yell89xu7we0lh2qys8lnn2p7a0cgqk92f,1,100.0,6.0,0.0
osmo10a4xqy53nm65nswq8ut7446mkv500wpddy792r,1,100000.0,3.709584785814731e+18,0.0
osmo10a5jkvtj5zyda7zymx2utrf8mrptfgw74gtnxe,1,100.0,6.0,0.0
osmo10a6cstvm7h4cxm5z9mgexljgtq2v4j9eur29rs,1,3628297207.0,94088440.0,0.0
osmo10a8n3x4frqvut9xlampu569fxt0g9ct9xgtxma,1,1370000.0,4.58669098872163e+19,0.0
osmo10aa5808sprl3fzals89fa82kl63jgqyu4v68cl,1,100.0,6.0,0.0
osmo10agjsgz8n7meft4lmnef9aarsyjan5l5jk5xvn,1,100.0,6.0,0.0
osmo10ahfl3vrg2k8jtf8vdp07q850pzyfpen7a460f,3,11461625.0,22473888.666666668,0.0
osmo10ahh3k4czgrd6mdr6ak99srff4nkjepxyaydfu,1,1.5485e+21,45679813.0,0.0
osmo10aj4masrfyu6l6uy5pmkeqz4kg7jpjjmw7wqt6,2,2.757022188747956e+19,3525962902.0,0.0
osmo10al9t7vajkx7vamaf4mj7tmpnjaegf25nx02pu,1,100.0,6.0,0.0
osmo10amlat80ncx7tze446qsn9s7tzhzwd97jkaxsq,8,2625000.0,1.1764434235586007e+18,0.0
osmo10audlm0h943e9a8cyhy9xnz42f5tj0f3knvr8r,1,5e+19,4569289.0,0.0
osmo10avnjpeqs5zj0wa39lc5386usl72n06lu6hufw,2,1975000.0,35184483.0,0.0
osmo10avzjtzplhtsqdv30q5jws78tzszlhfgt6jv4k,2,57850000.0,172203.5,0.0
osmo10az9u6048q5cc4g55kgpgle29ksntt7r39q57n,1,100.0,6.0,0.0
osmo10c3r27nekd9w7s3swwg3t9sf5hzrvqjftf2djk,49,71963791287.42857,100262985135.2449,0.0
osmo10ccpp95fs42f8hnae23x2ej8wkus0hzt9gqac0,3,6.533333333479276e+19,15199944.333333334,0.0
